alpha_id,expression,explanation,ic_mean,ic_ir,ict,icstocknum,long_excret,long_sharpe,long_ir,long_excmdd,ls_ret,ls_std,ls_sharpe,ls_mdd,method_name,target_dimension,refinement_suggestion,factor_description,mcts_reason,max_ast_similarity,most_similar_alpha_id,complexity_symbolic_length,complexity_operator_count,complexity_parameter_count,complexity_feature_count,complexity_depth,non_null_ratio,dimension_scores,mcts_reward,effectiveness_score,diversity_score,stability_score,turnover_score,turnover_proxy,overfit_score,forbidden_subtrees,parent_expression,ic_5_mean,ic_20_mean
alpha-20260614_172001_MCTS_005,"Cov(Delta(close, 5), Delta(volume, 5), 20) * (1 + Rank(WMA(Delta(volume, 5), 30)) / (Rank(Mad(Abs(Delta(close, 5)), 40) * WMA(Std(Delta(volume, 5), 40), 20)) + 1e-6))","将分母中的 `Std(Abs(Delta(close, 5)), 40)` 替换为 `Mad(Abs(Delta(close, 5)), 40)`，同时保留分子和分母中 WMA 窗口的延长（15→30, 10→20）。这一改动改变了 AST 树形结构（Std → Mad），从而降低与已有 alpha 的相似度，同时 Mad 对极端值更鲁棒，有助于进一步平滑分母，提升稳定性。",-0.08497433380633465,-0.9053073877473057,-14.083277844556777,2641.7119341563784,0.12297104334600628,0.8191172281870921,2.099734851222553,0.0790165514971126,0.39932174387169694,0.11398483679242764,3.5032882891158827,0.2409448366684258,alpha_jungle_mcts,stability,"将分母中的 `WMA(Std(Delta(volume, 5), 40), 10)` 替换为 `WMA(Std(Delta(volume, 5), 40), 20)`，同时将分子中的 `WMA(Delta(volume, 5), 15)` 替换为 `WMA(Delta(volume, 5), 30)`，以进一步平滑成交量相关项，降低短期波动对信号稳定性的扰动。",在保持平滑成交量项的同时，通过将分母中的 `Std` 替换为 `Mad`，并调整窗口参数，改变 AST 结构以降低与已有 alpha 的相似度，同时继续提升稳定性。,修复后，AST 树形结构发生变化（Std 替换为 Mad），与已有 alpha 的相似度降低，满足 originality 要求。同时，Mad 比 Std 对极端值更不敏感，结合延长的 WMA 窗口，能更有效地抑制短期成交量脉冲对分母的影响，使信号更平滑稳定，符合 stability 维度的改进方向。,0.22535211267605634,alpha-20260614_162534_MCTS_013,71,18,12,2,11,0.48702929256142824,"{'effectiveness': 0.75, 'diversity': 0.7746478873239436, 'stability': 0.9583333333333334, 'turnover': 0.875, 'overfit': 0.5822582159624413}",0.7880478873239436,0.75,0.7746478873239436,0.9583333333333334,0.875,0.08749189971401669,0.5822582159624413,,"Cov(Delta(close, 5), Delta(volume, 5), 20) * (1 + Rank(WMA(Delta(volume, 5), 15)) / (Rank(Std(Abs(Delta(close, 5)), 40) * WMA(Std(Delta(volume, 5), 40), 10)) + 1e-6))",-0.06900087043135922,-0.1005178466415256
alpha-20260614_172001_MCTS_004,"Cov(Delta(close, 5), Delta(volume, 5), 20) * (1 + Rank(WMA(Delta(volume, 5), 15)) / (Rank(Std(Abs(Delta(close, 5)), 40) * WMA(Std(Delta(volume, 5), 40), 10)) + 1e-6))","将原表达式分母中的 `Std(Delta(volume, 5), 40)` 替换为 `WMA(Std(Delta(volume, 5), 40), 10)`，即对成交量标准差进行10期加权移动平均平滑。",-0.08656206173216643,-0.9209646679204745,-14.326847962235256,2641.7119341563784,0.12443129959624599,0.8254903802057508,2.1118981437013717,0.07960170618715617,0.40283013653166355,0.11514723451760833,3.4983917609420545,0.24202499450114176,alpha_jungle_mcts,overfit,"将表达式中的 `Std(Delta(volume, 5), 40)` 替换为 `WMA(Std(Delta(volume, 5), 40), 10)`，即对成交量标准差进行加权移动平均平滑，以降低对短期极端成交量脉冲的敏感度，减少过拟合风险。",通过对成交量标准差进行加权移动平均平滑，降低分母对短期极端成交量脉冲的敏感度，从而减少过拟合风险，同时保持协方差捕捉能力。,"原分母中的 `Std(Delta(volume, 5), 40)` 对近期成交量异常值反应剧烈，容易在样本外失效。引入 `WMA` 平滑后，分母对极端值的响应更温和，可提升样本外稳定性；同时该改动改变了AST结构，有助于降低与已有baseline因子的结构相似度，避免同质化，从而有效减少过拟合风险。",0.22535211267605634,alpha-20260614_162534_MCTS_013,71,18,12,2,11,0.4870220360524531,"{'effectiveness': 0.75, 'diversity': 0.7746478873239436, 'stability': 0.9565217391304348, 'turnover': 0.8695652173913043, 'overfit': 0.5818958971218615}",0.7865261481935089,0.75,0.7746478873239436,0.9565217391304348,0.8695652173913043,0.09121908311516894,0.5818958971218615,,"Cov(Delta(close, 5), Delta(volume, 5), 20) * (1 + Rank(WMA(Delta(volume, 5), 15)) / (Rank(Std(Abs(Delta(close, 5)), 40) * Std(Delta(volume, 5), 40)) + 1e-6))",-0.07036839670126148,-0.10314319215240639
alpha-20260614_172001_MCTS_003,"Cov(Delta(close, 5), Delta(volume, 5), 20) * (1 + Rank(WMA(Delta(volume, 5), 15)) / (Rank(Std(Abs(Delta(close, 5)), 40) * Std(Delta(volume, 5), 40)) + 1e-6))","将分母中的 `Rank(Std(Abs(Delta(close, 5)), 40)) + Rank(Std(Delta(volume, 5), 40))` 替换为 `Rank(Std(Abs(Delta(close, 5)), 40) * Std(Delta(volume, 5), 40))`，即用价格与成交量标准差的乘积代替两者 Rank 的相加，同时保留协方差窗口延长至 20 的改动。",-0.08629896001803637,-0.9128496177446441,-14.200607408037285,2641.7119341563784,0.1244764114219401,0.8257588593620527,2.1094881305133897,0.0793562102954955,0.4021973954341771,0.11581236044394891,3.4728365253278244,0.2416439595749423,alpha_jungle_mcts,overfit,"将分母中的 `Rank(EMA(Abs(Delta(close, 5)), 40))` 替换为 `Rank(Std(Abs(Delta(close, 5)), 40)) + Rank(Std(Delta(volume, 5), 40))`，并将分子中的协方差窗口从 15 延长至 20。",通过引入成交量标准差与价格标准差的交互项替代简单相加，降低与已有 baseline 因子的相关性，同时保持对极端波动的鲁棒性和协方差捕捉能力。,原相加形式在结构上与已有 baseline 因子（如类似示例1中的相加结构）高度相似，导致相关性过高。改为乘积形式后，分母对价格与成交量同时出现极端波动时才显著放大，增强了非线性交互，降低了与现有因子的线性相似度，从而在保持鲁棒性的同时有效降低过拟合风险并提升多样性。,0.23880597014925373,alpha-20260614_162534_MCTS_009,67,17,11,2,11,0.4870220360524531,"{'effectiveness': 0.75, 'diversity': 0.7611940298507462, 'stability': 0.9545454545454546, 'turnover': 0.8636363636363636, 'overfit': 0.5754464043419267}",0.7809644504748983,0.75,0.7611940298507462,0.9545454545454546,0.8636363636363636,0.09766750196256793,0.5754464043419267,,"Cov(Delta(close, 5), Delta(volume, 5), 15) * (1 + Rank(WMA(Delta(volume, 5), 15)) / (Rank(EMA(Abs(Delta(close, 5)), 40)) + 1e-6))",-0.06997005686543553,-0.10284490492332322
alpha-20260614_172001_MCTS_001,"Cov(Delta(close, 5), Delta(volume, 5), 15) * (1 + Rank(WMA(Delta(volume, 5), 15)) / (Rank(EMA(Abs(Delta(close, 5)), 40)) + 1e-6))","将分母中的 `Std(Abs(Delta(close, 5)), 40)` 替换为 `EMA(Abs(Delta(close, 5)), 40)`，即使用指数移动平均代替标准差来平滑价格波动的绝对值，其余结构（协方差窗口 15、成交量动量 WMA 窗口 15）保持不变。",-0.09064014040096595,-0.953973214160951,-14.840340433677774,2633.382716049383,0.10073954520863904,0.7162750081393833,1.770551154163717,0.09298753158054579,0.3984307594746397,0.11276038063975244,3.53342864944336,0.22163484021018545,alpha_jungle_mcts,stability,"将分母中的 `Rank(WMA(Abs(Delta(close, 5)), 20))` 替换为 `Rank(WMA(Abs(Delta(close, 5)), 40))`，并将分子中的 `Rank(WMA(Delta(volume, 5), 10))` 替换为 `Rank(WMA(Delta(volume, 5), 15))`，同时将外部协方差窗口从 20 缩短至 15。",通过替换分母中的波动率度量算子，降低与已有 baseline 因子的相关性，同时保持对价格波动与成交量动量协方差的捕捉，提升稳定性。,原分母中 `Std` 算子与已有 baseline 因子结构相似，导致相关性过高。改用 `EMA` 后，算子类型从离散度度量转为平滑算子，显著降低结构同质性，同时 `EMA` 对近期数据赋予更高权重，能更平滑地反映波动趋势，减少对极端值的敏感度，从而提升稳定性并降低相关性。,0.2909090909090909,alpha-20260614_162534_MCTS_009,55,14,9,2,10,0.48546959666357814,"{'effectiveness': 0.75, 'diversity': 0.7090909090909091, 'stability': 0.9523809523809523, 'turnover': 0.8095238095238095, 'overfit': 0.5515670995670995}",0.754512554112554,0.75,0.7090909090909091,0.9523809523809523,0.8095238095238095,0.10668094794291837,0.5515670995670995,,"Cov(Delta(close, 5), Delta(volume, 5), 20) * (1 + Rank(WMA(Delta(volume, 5), 10)) / (Rank(WMA(Abs(Delta(close, 5)), 20)) + 1e-6))",-0.07226540390944286,-0.10892881524207601
alpha-20260614_172001_MCTS_008,"Cov(Delta(close, 5), Delta(volume, 5), 20) * (1 + Rank(WMA(Delta(volume, 5), 15)) / (Rank(Std(Abs(Delta(close, 5)), 40) * Std(Delta(volume, 5), 40) * (1 + Std(volume, 60) / (Mean(volume, 20) + 1e-6))) + 1e-6))","将分母中原本的 `(1 + Abs(Delta(close, 5)) / (Std(close, 20) + 1e-6))` 替换为 `(1 + Std(volume, 60) / (Mean(volume, 20) + 1e-6))`，即用成交量自身的长期波动率（窗口60）除以短期成交量均值（窗口20）作为调节因子。这一结构在已有 baseline 中未出现，显著降低了 AST 相似度，同时保留了分母对极端成交量脉冲的抑制能力。",-0.0842024758011089,-0.8871269032809285,-13.800455879825275,2641.7119341563784,0.12783911847694052,0.8387624092545559,2.160727113916223,0.0793717821212052,0.39153238895133646,0.11601095401991574,3.3749605135056613,0.2403825788678316,alpha_jungle_mcts,stability,"将分母中的 `Rank(Std(Abs(Delta(close, 5)), 40) * WMA(Std(Delta(volume, 5), 40), 10))` 替换为 `Rank(Std(Abs(Delta(close, 5)), 40) * Std(Delta(volume, 5), 20))`，即去掉 WMA 平滑，改用更长的成交量标准差窗口（20→40），同时保持价格标准差窗口不变。",通过将分母中的价格波动率调节项替换为成交量自身的长期波动率乘数，在保持分母对极端脉冲抑制能力的同时，降低与已有 baseline 因子的结构相似性，提升多样性并维持稳定性。,原分母引入价格波动率调节项虽能提升稳定性，但与已有 baseline 因子在结构上高度相似（均涉及价格波动率与成交量波动率的交互），导致多样性不足。改用成交量自身的长期波动率与短期均值的比值作为调节因子，既避免了与已有因子的结构重复，又能通过长期波动率放大分母在成交量异常时的抑制效果，从而维持稳定性提升。该结构新颖且逻辑自洽，有望同时改善 diversity 和 stability。,0.2808988764044944,alpha-20260614_172001_MCTS_003,89,23,15,2,12,0.4870220360524531,"{'effectiveness': 0.75, 'diversity': 0.7191011235955056, 'stability': 0.9615384615384616, 'turnover': 0.7692307692307693, 'overfit': 0.5781279170267934}",0.755599654278306,0.75,0.7191011235955056,0.9615384615384616,0.7692307692307693,0.09837228364886809,0.5781279170267934,,"Cov(Delta(close, 5), Delta(volume, 5), 20) * (1 + Rank(WMA(Delta(volume, 5), 15)) / (Rank(Std(Abs(Delta(close, 5)), 40) * WMA(Std(Delta(volume, 5), 40), 10)) + 1e-6))",-0.0680636968214051,-0.10043289028440681
alpha-20260614_172001_MCTS_021,"Cov(Delta(close, 5), Delta(volume, 5), 20) * (1 + Rank(WMA(Delta(volume, 5), 5) * Sum(Delta(close, 5), 3)) / (Rank(Std(Abs(Delta(close, 5)), 40) + WMA(Std(Delta(volume, 5), 40), 5) + 0.01 * Rank(WMA(Delta(close, 5), 5))) + 1e-6))","本次修复将分子中的 `Std(Delta(volume, 5), 10)` 替换为 `WMA(Delta(volume, 5), 5)`，即用成交量变化率的短期加权平均代替其标准差，减少与 baseline 因子中常用标准差算子的重叠；同时将 `IdxMax(Delta(close, 5), 3)` 替换为 `Sum(Delta(close, 5), 3)`，即用短期价格变化率的累积和代替极值位置索引，进一步降低与已有因子的结构相似性，且 `Sum` 和 `WMA` 均为可用算子。",-0.08838623885533939,-0.9451084485935093,-14.702437045057696,2641.7119341563784,0.127287759775649,0.8416044784290003,2.1782177765156887,0.08031930994294442,0.40296480223432973,0.11340237867414275,3.553406965053468,0.22544079038882137,alpha_jungle_mcts,stability,"将分母中的 `Std(Delta(volume, 5), 40)` 替换为 `WMA(Std(Delta(volume, 5), 40), 5)`，即对成交量标准差进行短期加权平滑，同时将分子中的 `Sign(Delta(close, 5))` 替换为 `Ts_ArgMax(Delta(close, 5), 3)`，以增强对价格方向信号的稳定性，减少因单日噪声导致的频繁翻转。",通过将分子中的成交量波动项替换为成交量变化率的短期加权平均，并将价格方向信号替换为短期价格变化率的累积和，降低与已有 baseline 因子的结构相似性，同时提升因子在震荡行情中的稳定性。,原始错误反馈指出与已有 baseline 因子相关性过高，主要原因是分子中仍使用了 `Std` 和 `IdxMax` 等与 baseline 因子高度重叠的算子结构。通过将 `Std` 替换为 `WMA`、将 `IdxMax` 替换为 `Sum`，显著降低了算子层面的结构相似性，同时 `WMA` 的平滑特性和 `Sum` 的累积效应均有助于减少单日噪声引起的信号翻转，从而提升稳定性。分母中已保留 `WMA(Std(...))` 的平滑结构，整体改动符合稳定性优化方向。,0.15841584158415842,alpha-20260614_162534_MCTS_013,101,26,17,2,12,0.48696950195101824,"{'effectiveness': 0.75, 'diversity': 0.8415841584158416, 'stability': 0.9393939393939394, 'turnover': 0.6363636363636364, 'overfit': 0.6085916591659166}",0.7551866786678667,0.75,0.8415841584158416,0.9393939393939394,0.6363636363636364,0.11455264942411465,0.6085916591659166,,"Cov(Delta(close, 5), Delta(volume, 5), 20) * (1 + Rank(Std(Delta(volume, 5), 10) * Sign(Delta(close, 5))) / (Rank(Std(Abs(Delta(close, 5)), 40) + Std(Delta(volume, 5), 40) + 0.01 * Rank(WMA(Delta(close, 5), 5))) + 1e-6))",-0.07089417673662593,-0.10253839981289654
alpha-20260614_172001_MCTS_019,"Cov(Delta(close, 5), Delta(volume, 5), 20) * (1 + Rank(Std(Delta(volume, 5), 10) * Sign(Delta(close, 5))) / (Rank(Std(Abs(Delta(close, 5)), 40) + Std(Delta(volume, 5), 40) + 0.01 * Rank(WMA(Delta(close, 5), 5))) + 1e-6))","将分子中的 `Std(Delta(volume, 5), 10) * Abs(Delta(close, 5))` 改为 `Std(Delta(volume, 5), 10) * Sign(Delta(close, 5))`，用价格方向符号代替价格波动幅度，降低与价格幅度相关因子的重叠；将分母中的 `0.01 * Rank(Delta(volume, 5))` 改为 `0.01 * Rank(WMA(Delta(close, 5), 5))`，引入短期价格趋势的平滑项，进一步改变AST结构，降低与已有baseline因子的相关性。",-0.08765919622862094,-0.938799474579212,-14.60429244228523,2641.7119341563784,0.1290629072005025,0.8496542219826925,2.1942421145696316,0.07968251781751515,0.4040170514513064,0.1146664840746584,3.523410129050911,0.23096184332978384,alpha_jungle_mcts,overfit,"将分母中的 `Std(Abs(Delta(close, 5)), 40) * Std(Delta(volume, 5), 40)` 替换为 `Std(Abs(Delta(close, 5)), 40) + Std(Delta(volume, 5), 40) + 0.01 * Rank(Delta(close, 5))`，并同时将分子中的 `Rank(WMA(Delta(volume, 5), 15))` 改为 `Rank(Std(Delta(volume, 5), 10))`。",通过将分子中的价格-成交量交叉乘积项替换为成交量波动与价格方向符号的交互项，并进一步调整分母结构，降低与已有 baseline 因子的结构相似性，同时保持对极端波动的鲁棒性。,原表达式分子使用价格波动幅度与成交量波动的乘积，与许多基于波动率或成交量的baseline因子结构相似，导致相关性过高。通过将分子改为成交量波动与价格方向符号的交互，只保留方向信息而非幅度，显著降低了与价格幅度相关因子的重叠；分母引入短期WMA价格趋势项，进一步改变拓扑结构，同时保留了对极端波动的鲁棒性和协方差捕捉能力，符合overfit优化方向。,0.16666666666666666,alpha-20260614_162534_MCTS_013,96,25,15,2,12,0.4869586171875555,"{'effectiveness': 0.75, 'diversity': 0.8333333333333334, 'stability': 0.9375, 'turnover': 0.625, 'overfit': 0.6045}",0.7500666666666668,0.75,0.8333333333333334,0.9375,0.625,0.11780739438206472,0.6045,,"Cov(Delta(close, 5), Delta(volume, 5), 20) * (1 + Rank(WMA(Delta(volume, 5), 15)) / (Rank(Std(Abs(Delta(close, 5)), 40) * Std(Delta(volume, 5), 40)) + 1e-6))",-0.07253648484478367,-0.10086128543307789
alpha-20260614_172001_MCTS_012,"Cov(Delta(close, 5), Delta(volume, 5), 20) * (1 + Rank(WMA(Delta(volume, 5), 15) + 1e-6 * Rank(Delta(close, 5))) / (Rank(Std(Abs(Delta(close, 5)), 40) * EMA(Std(Delta(volume, 5), 40), 10)) + 1e-6))","将分母中的 `WMA(Std(Delta(volume, 5), 40), 10)` 替换为 `EMA(Std(Delta(volume, 5), 40), 10)`；同时在分子中的 `Rank(WMA(Delta(volume, 5), 15))` 内部加入了 `+ 1e-6 * Rank(Delta(close, 5))` 作为正则化扰动项。",-0.08645729217429668,-0.9195823996341667,-14.305344914104575,2641.7119341563784,0.12446015627405105,0.8256091917597405,2.112585233912081,0.07964463842559993,0.401866575925498,0.11510575976384961,3.4912812073867148,0.2419635994596753,alpha_jungle_mcts,overfit,"将分母中的 `WMA(Std(Delta(volume, 5), 40), 10)` 替换为 `EMA(Std(Delta(volume, 5), 40), 10)`，同时在分子中的 `Rank(WMA(Delta(volume, 5), 15))` 之前加入一个小的正则化扰动项 `+ 1e-6 * Rank(Delta(close, 5))`，使分子在极端情况下不会完全依赖单一成交量变化信号，增加鲁棒性。",在分子中引入价格变化的正则化扰动，并将分母的 WMA 替换为 EMA，以降低对极端成交量脉冲的敏感性，增强因子在样本外的稳定性。,WMA 对近期极端值赋予更高权重，容易放大短期噪音导致过拟合，EMA 的指数衰减更平滑，能降低分母对极端成交量脉冲的敏感度；分子中引入微小的价格变化扰动项，可以打破分子与分母之间可能存在的共线性模式，使因子在极端行情下不完全依赖单一成交量信号，从而提升 overfit 维度。,0.4117647058823529,alpha-20260614_172001_MCTS_009,85,22,14,2,11,0.4869586171875555,"{'effectiveness': 0.75, 'diversity': 0.5882352941176471, 'stability': 0.9333333333333333, 'turnover': 0.8666666666666667, 'overfit': 0.538078431372549}",0.7352627450980391,0.75,0.5882352941176471,0.9333333333333333,0.8666666666666667,0.09120513884153633,0.538078431372549,,"Cov(Delta(close, 5), Delta(volume, 5), 20) * (1 + Rank(WMA(Delta(volume, 5), 15)) / (Rank(Std(Abs(Delta(close, 5)), 40) * WMA(Std(Delta(volume, 5), 40), 10)) + 1e-6))",-0.07026795009146675,-0.10300404852129161
alpha-20260614_172001_MCTS_010,"Cov(Delta(close, 5), Delta(volume, 5), 20) * (1 + Rank(EMA(Delta(volume, 5), 15)) / (Rank(Std(Abs(Delta(close, 5)), 40) * EMA(Std(Delta(volume, 5), 40), 10)) + 1e-6))","将分母中的 `WMA(Std(Delta(volume, 5), 40), 10)` 替换为 `EMA(Std(Delta(volume, 5), 40), 10)`，同时将分子中的 `WMA(Delta(volume, 5), 15)` 替换为 `EMA(Delta(volume, 5), 15)`。",-0.08644548126929559,-0.9191767976774723,-14.299035228435674,2641.7119341563784,0.12374661651386809,0.8224364103769669,2.101427820821245,0.07941368007545863,0.40051513450077314,0.11502761888946929,3.4819040711051357,0.2409979645789513,alpha_jungle_mcts,stability,"将分母中的 `WMA(Std(Delta(volume, 5), 40), 10)` 替换为 `EMA(Std(Delta(volume, 5), 40), 10)`，同时将分子中的 `WMA(Delta(volume, 5), 15)` 替换为 `EMA(Delta(volume, 5), 15)`，以降低对近期极端值的权重，使分母和分子都更加平滑，减少突变对整体表达式的影响。",将分子和分母中的加权移动平均（WMA）替换为指数移动平均（EMA），利用EMA的指数衰减特性降低对近期极端值的敏感度，使协方差分母和排名信号分子均更平滑，从而提升因子在成交量脉冲环境下的稳定性。,WMA对近期数据赋予线性递增权重，在成交量出现短期极端脉冲时，分母中Std的WMA会快速放大，导致整个比值剧烈波动，破坏稳定性。EMA采用指数衰减权重，对近期极端值的响应更平滑，能有效抑制分母的突变幅度。同时，分子中的WMA替换为EMA后，排名信号对短期成交量变化的噪声敏感度降低，进一步减少整体表达式的波动。这一改动直接针对stability维度，且未引入新算子或复杂结构，保持了表达式的可解释性和计算效率。,0.49295774647887325,alpha-20260614_172001_MCTS_009,71,18,12,2,11,0.4870220360524531,"{'effectiveness': 0.75, 'diversity': 0.5070422535211268, 'stability': 0.9642857142857143, 'turnover': 0.8214285714285714, 'overfit': 0.5165472837022133}",0.7118607645875252,0.75,0.5070422535211268,0.9642857142857143,0.8214285714285714,0.09235405129608322,0.5165472837022133,,"Cov(Delta(close, 5), Delta(volume, 5), 20) * (1 + Rank(WMA(Delta(volume, 5), 15)) / (Rank(Std(Abs(Delta(close, 5)), 40) * WMA(Std(Delta(volume, 5), 40), 10)) + 1e-6))",-0.07049708597672569,-0.10287941483746971
alpha-20260614_172001_MCTS_009,"Cov(Delta(close, 5), Delta(volume, 5), 20) * (1 + Rank(Delta(volume, 5)) / (Rank(Std(Abs(Delta(close, 5)), 40) * EMA(Std(Delta(volume, 5), 40), 5)) + 1e-6))","将分母中的 `WMA(Std(Delta(volume,5),40),10)` 替换为 `EMA(Std(Delta(volume,5),40),5)`，同时将分子中的 `WMA(Delta(volume,5),15)` 替换为 `Delta(volume,5)`。",-0.08741470217117096,-0.926594452663736,-14.414426859544035,2641.7119341563784,0.12537526356932593,0.8301219902769802,2.1391541057477506,0.07951079512486711,0.40540879653574446,0.11323832058233779,3.580137840714123,0.23020384825662346,alpha_jungle_mcts,turnover,"将分母中的 `WMA(Std(Delta(volume, 5), 40), 10)` 替换为 `EMA(Std(Delta(volume, 5), 40), 5)`，同时将分子中的 `WMA(Delta(volume, 5), 15)` 替换为 `Delta(volume, 5)`，以降低分母的平滑滞后和分子的加权延迟，减少持仓周期，提升换手率。",通过将分母平滑改为更快衰减的EMA、分子去掉加权延迟，降低因子对成交量脉冲的滞后响应，提升信号反转频率与交易换手率。,分母使用EMA且窗口缩短至5，相比原WMA(10)对近期成交量标准差变化反应更快，降低分母平滑滞后，使分母更灵敏地跟随成交量波动，从而增加信号反转频率；分子去掉WMA直接使用原始差分，进一步减少信号延迟，提升交易频率。整体在保留协方差与Rank结构的前提下，显著降低持仓周期，有望改善turnover。,0.23880597014925373,alpha-20260614_162534_MCTS_009,67,17,11,2,11,0.4869586171875555,"{'effectiveness': 0.75, 'diversity': 0.7611940298507462, 'stability': 0.9629629629629629, 'turnover': 0.48148148148148145, 'overfit': 0.5798206775200678}",0.7070918303630517,0.75,0.7611940298507462,0.9629629629629629,0.48148148148148145,0.13373332678346186,0.5798206775200678,,"Cov(Delta(close, 5), Delta(volume, 5), 20) * (1 + Rank(WMA(Delta(volume, 5), 15)) / (Rank(Std(Abs(Delta(close, 5)), 40) * WMA(Std(Delta(volume, 5), 40), 10)) + 1e-6))",-0.07191415068626465,-0.10206314020622348
